cat,word/character,pronunciation,definition,code,alt
123,点,diǎn,"a drop (of liquid), dot, decimal point, a little, a bit, appoint time, select, choose, order food/drink, <classifier for small amounts>, (=点火 diǎnhuǒ) light a fire",s,
123,點,diǎn,"a drop (of liquid), dot, decimal point, a little, a bit, appoint time, select, choose, order food/drink, <classifier for small amounts>, (=点火 diǎnhuǒ) light a fire",t,
124,月,yuè,"month, (=月亮 yuèliang, =月球 yuèqiú) moon",s,
124,月,yuè,"month, (=月亮 yuèliang, =月球 yuèqiú) moon",t,
125,明,míng,"bright, clear, distinct, next (day or year), <family name>",s,
125,明,míng,"bright, clear, distinct, next (day or year), <family name>",t,
126,其,qí,"its, that, such, they, them",s,
126,其,qí,"its, that, such, they, them",t,
126,其,jī,anniversary,s,
126,其,jī,anniversary,t,
127,种,zhǒng,"kind, sort, breed, race",s,
127,種,zhǒng,"kind, sort, breed, race",t,
127,种,zhòng,"to plant, cultivate",s,
127,種,zhòng,"to plant, cultivate",t,
128,声,shēng,"voice, declaration, (=声音 shēngyīn) sound, <classifier for sounds>",s,
128,聲,shēng,"voice, declaration, (=声音 shēngyīn) sound, <classifier for sounds>",t,
129,全,quán,"whole, entire, total, complete, <family name>",s,
129,全,quán,"whole, entire, total, complete, <family name>",t,
130,工,gōng,"(=工作 gōngzuò) work, job",s,
130,工,gōng,"(=工作 gōngzuò) work, job",t,
131,己,jǐ,"(=自己 zìjǐ) self{Compare with 已 yǐ already, which is ""closed"" on the left side}",s,
131,己,jǐ,"(=自己 zìjǐ) self{Compare with 已 yǐ already, which is ""closed"" on the left side}",t,
132,话,huà,"speech, word, language, dialect, (=说话 shuōhuà) talk, speak",s,
132,話,huà,"speech, word, language, dialect, (=说话 shuōhuà) talk, speak",t,
133,儿,ér,child,s,
133,兒,ér,child,t,
133,儿,r,(noun suffix),s,
133,兒,r,(noun suffix),t,
134,者,zhě,one who...,s,
134,者,zhě,one who...,t,
135,嚮,xiàng,direction,t,
135,曏,xiàng,formerly,t,
135,向,xiàng,"take somebody's part, to, towards, all along, allways, <family name>, (F 嚮) direction, towards, (F 曏) formerly, previously",s,
135,向,xiàng,"take somebody's part, to, towards, all along, allways, <family name>, towards, previously",t,
136,情,qíng,"sensibility, (=感情 gǎnqíng) feeling, emotion",s,
136,情,qíng,"sensibility, (=感情 gǎnqíng) feeling, emotion",t,
137,部,bù,"(=部分 bùfen) part, section, unit, <classifier for film, large books, machines, etc.>, (=部队 bùduì) troops, army",s,
137,部,bù,"(=部分 bùfen) part, section, unit, <classifier for film, large books, machines, etc.>, (=部队 bùduì) troops, army",t,
138,正,zhèng,"right, straight, upright, correct",s,
138,正,zhèng,"right, straight, upright, correct",t,
139,名,míng,"(=名字 míngzi) name, personal name",s,
139,名,míng,"(=名字 míngzi) name, personal name",t,
140,定,dìng,"fix, settle, calm, stable, subscribe, (=决定 juédìng) decide",s,
140,定,dìng,"fix, settle, calm, stable, subscribe, (=决定 juédìng) decide",t,
